Forecast timestamp;Position;Forecast base;Temperature;2 metre temperature;Total Precipitation;Relative humidity;Downward long-wave radiation flux;Downward short-wave radiation flux;Wind speed (gust);u-component of wind (gust);v-component of wind (gust);2 metre dewpoint temperature;Minimum temperature at 2 metres in the last 6 hours;Maximum temperature at 2 metres in the last 6 hours;Total Cloud Cover
2019-11-05T01:00:00+01:00;45.5,10.5;2019-11-05T01:00:00+01:00;11.547.540.283.203.100;12.213.372.802.734.300;;9.328.377.532.958.980;;;;;;11.152.886.962.890.600;;;9.000.000.001
2019-11-05T01:00:00+01:00;45.5,12.5;2019-11-05T01:00:00+01:00;14.735.040.283.203.100;12.869.622.802.734.300;;9.425.252.532.958.980;;;;;;11.996.636.962.890.600;;;9.500.000.001
2019-11-05T01:00:00+01:00;45.0,10.5;2019-11-05T01:00:00+01:00;11.891.290.283.203.100;12.182.122.802.734.300;;9.512.752.532.958.980;;;;;;11.434.136.962.890.600;;;6.850.000.001
2019-11-05T01:00:00+01:00;45.0,11.5;2019-11-05T01:00:00+01:00;11.610.040.283.203.100;11.932.122.802.734.300;;9.678.377.532.958.980;;;;;;11.434.136.962.890.600;;;9.950.000.001
2019-11-05T01:00:00+01:00;45.0,12.5;2019-11-05T01:00:00+01:00;17.016.290.283.203.100;17.557.122.802.734.300;;8.037.752.532.958.980;;;;;;14.121.636.962.890.600;;;9.800.000.001
2019-11-05T01:00:00+01:00;45.5,12.0;2019-11-05T01:00:00+01:00;12.235.040.283.203.100;12.213.372.802.734.300;;9.556.502.532.958.980;;;;;;11.527.886.962.890.600;;;10.000.000.001
2019-11-05T01:00:00+01:00;45.0,11.0;2019-11-05T01:00:00+01:00;12.110.040.283.203.100;12.213.372.802.734.300;;9.444.002.532.958.980;;;;;;11.340.386.962.890.600;;;9.450.000.001
2019-11-05T01:00:00+01:00;45.5,11.0;2019-11-05T01:00:00+01:00;11.985.040.283.203.100;12.869.622.802.734.300;;9.056.502.532.958.980;;;;;;11.371.636.962.890.600;;;9.900.000.001
2019-11-05T01:00:00+01:00;45.0,12.0;2019-11-05T01:00:00+01:00;12.235.040.283.203.100;12.588.372.802.734.300;;9.753.377.532.958.980;;;;;;12.215.386.962.890.600;;;9.900.000.001
2019-11-05T01:00:00+01:00;45.5,11.5;2019-11-05T01:00:00+01:00;11.141.290.283.203.100;11.275.872.802.734.300;;9.606.502.532.958.980;;;;;;10.684.136.962.890.600;;;8.950.000.001
